name,version,directory,repository,summary,from package.json,from license,from readme
accepts,1.3.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/accepts,https://github.com/jshttp/accepts,MIT,MIT,MIT,
acorn,1.2.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/acorn,https://github.com/marijnh/acorn,MIT,MIT,,
amdefine,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/amdefine,https://github.com/jrburke/amdefine,BSD;BSD-3-Clause AND MIT;MIT,BSD-3-Clause AND MIT,BSD;MIT,BSD
ansi-regex,2.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ansi-regex,https://github.com/sindresorhus/ansi-regex,MIT,MIT,MIT,MIT
ansi-styles,2.2.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ansi-styles,https://github.com/chalk/ansi-styles,MIT,MIT,MIT,MIT
array-flatten,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/array-flatten,http://github.com/blakeembrey/array-flatten,MIT,MIT,MIT,MIT
asap,2.0.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/asap,https://github.com/kriskowal/asap,MIT,MIT,,MIT
ast-types,0.8.15,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ast-types,http://github.com/benjamn/ast-types,MIT,MIT,,
babel-code-frame,6.16.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-code-frame,https://github.com/babel/babel/tree/master/packages/babel-code-frame,MIT,MIT,,
babel-messages,6.8.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-messages,https://github.com/babel/babel/tree/master/packages/babel-messages,MIT,MIT,,
babel-runtime,6.9.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-runtime,https://github.com/babel/babel/tree/master/packages/babel-runtime,MIT,MIT,,
babel-template,6.16.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template,https://github.com/babel/babel/tree/master/packages/babel-template,MIT,MIT,,
babel-traverse,6.18.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-traverse,https://github.com/babel/babel/tree/master/packages/babel-traverse,MIT,MIT,,
babel-types,6.18.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-types,https://github.com/babel/babel/tree/master/packages/babel-types,MIT,MIT,,
babylon,6.13.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babylon,https://github.com/babel/babylon,MIT,MIT,,
balanced-match,0.4.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/balanced-match,http://github.com/juliangruber/balanced-match,MIT,MIT,MIT,MIT
base62,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/base62,https://github.com/andrew/base62.js,MIT,MIT,,
bluebird,3.4.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/bluebird,http://github.com/petkaantonov/bluebird,MIT,MIT,MIT,MIT
brace-expansion,1.1.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/brace-expansion,http://github.com/juliangruber/brace-expansion,MIT,MIT,,MIT
chalk,1.1.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/chalk,https://github.com/chalk/chalk,MIT,MIT,MIT,MIT
classnames,2.2.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/classnames,https://github.com/JedWatson/classnames,MIT,MIT,MIT,
commander,2.9.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/commander,https://github.com/tj/commander.js,MIT,MIT,MIT,MIT
commoner,0.10.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/commoner,http://github.com/reactjs/commoner,MIT,MIT,,
concat-map,0.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/concat-map,http://github.com/substack/node-concat-map,MIT,MIT,MIT,MIT
content-disposition,0.5.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/content-disposition,https://github.com/jshttp/content-disposition,MIT,MIT,MIT,
content-type,1.0.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/content-type,https://github.com/jshttp/content-type,MIT,MIT,MIT,
cookie,0.3.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/cookie,https://github.com/jshttp/cookie,MIT,MIT,MIT,
cookie-signature,1.0.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/cookie-signature,https://github.com/visionmedia/node-cookie-signature,MIT,MIT,,MIT
core-js,1.2.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/core-js,https://github.com/zloirock/core-js,MIT,MIT,,
core-js,2.4.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-runtime/node_modules/core-js,https://github.com/zloirock/core-js,MIT,MIT,,
debug,2.2.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/debug,http://github.com/visionmedia/debug,MIT,MIT,,MIT
deep-equal,1.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/deep-equal,ssh://git@github.com/substack/node-deep-equal,MIT,MIT,MIT,
defined,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/defined,http://github.com/substack/defined,MIT,MIT,MIT,MIT
depd,1.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/depd,https://github.com/dougwilson/nodejs-depd,MIT,MIT,MIT,
destroy,1.0.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/destroy,https://github.com/stream-utils/destroy,MIT,MIT,MIT,
detective,4.3.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/detective,http://github.com/substack/node-detective,MIT,MIT,MIT,MIT
dom-helpers,3.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/dom-helpers,https://github.com/jquense/dom-helpers,MIT,MIT,,
dom-walk,0.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/dom-walk,http://github.com/Raynos/dom-walk,MIT,MIT,,MIT
double-ended-queue,2.1.0-0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/double-ended-queue,http://github.com/petkaantonov/deque,MIT,MIT,,
ee-first,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ee-first,https://github.com/jonathanong/ee-first,MIT,MIT,MIT,
encodeurl,1.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/encodeurl,https://github.com/pillarjs/encodeurl,MIT,MIT,MIT,
encoding,0.1.12,/Users/Joe/Dropbox/Projects/portfolio/node_modules/encoding,https://github.com/andris9/encoding,MIT,MIT,,
envify,3.4.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/envify,http://github.com/hughsk/envify,MIT,MIT,,
error-stack-parser,1.3.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/error-stack-parser,http://github.com/stacktracejs/error-stack-parser,Unlicense,Unlicense,,
escape-html,1.0.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/escape-html,https://github.com/component/escape-html,MIT,MIT,MIT,MIT
escape-string-regexp,1.0.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/escape-string-regexp,https://github.com/sindresorhus/escape-string-regexp,MIT,MIT,MIT,MIT
esprima-fb,15001.1.0-dev-harmony-fb,/Users/Joe/Dropbox/Projects/portfolio/node_modules/esprima-fb,ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esprima-fb,15001.1001.0-dev-harmony-fb,/Users/Joe/Dropbox/Projects/portfolio/node_modules/recast/node_modules/esprima-fb,ssh://git@github.com/facebook/esprima,BSD,BSD,,BSD
esutils,2.0.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/esutils,ssh://git@github.com/estools/esutils,BSD,BSD,,
etag,1.7.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/etag,https://github.com/jshttp/etag,MIT,MIT,MIT,
express,4.14.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/express,https://github.com/expressjs/express,MIT,MIT,MIT,
fbjs,0.6.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/react-typewriter/node_modules/fbjs,https://github.com/facebook/fbjs,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
fbjs,0.8.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/fbjs,https://github.com/facebook/fbjs,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
finalhandler,0.5.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/finalhandler,https://github.com/pillarjs/finalhandler,MIT,MIT,MIT,
forwarded,0.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/forwarded,https://github.com/jshttp/forwarded,MIT,MIT,MIT,
fresh,0.3.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/fresh,https://github.com/jshttp/fresh,MIT,MIT,MIT,
glob,5.0.15,/Users/Joe/Dropbox/Projects/portfolio/node_modules/glob,http://github.com/isaacs/node-glob,ISC,ISC,ISC,
global,4.3.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/global,http://github.com/Raynos/global,MIT,MIT,,MIT
globals,9.12.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/globals,https://github.com/sindresorhus/globals,MIT,MIT,MIT,MIT
graceful-fs,4.1.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/graceful-fs,https://github.com/isaacs/node-graceful-fs,ISC,ISC,ISC,
graceful-readlink,1.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/graceful-readlink,http://github.com/zhiyelee/graceful-readlink,MIT,MIT,MIT,MIT
has-ansi,2.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/has-ansi,https://github.com/sindresorhus/has-ansi,MIT,MIT,MIT,MIT
history,2.1.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/history,https://github.com/mjackson/history,MIT,MIT,MIT,
hoist-non-react-statics,1.2.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/hoist-non-react-statics,http://github.com/mridgway/hoist-non-react-statics,BSD,BSD,BSD,BSD
http-errors,1.5.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/http-errors,https://github.com/jshttp/http-errors,MIT,MIT,MIT,
iconv-lite,0.4.13,/Users/Joe/Dropbox/Projects/portfolio/node_modules/iconv-lite,http://github.com/ashtuchkin/iconv-lite,MIT,MIT,,
immutable,3.8.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/immutable,http://github.com/facebook/immutable-js,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
inflight,1.0.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/inflight,https://github.com/npm/inflight,ISC,ISC,ISC,
inherits,2.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/inherits,http://github.com/isaacs/inherits,ISC,ISC,ISC,
invariant,2.2.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/invariant,https://github.com/zertosh/invariant,BSD-3-Clause,BSD-3-Clause,,
ipaddr.js,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ipaddr.js,http://github.com/whitequark/ipaddr.js,MIT,MIT,,
is-stream,1.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/is-stream,https://github.com/sindresorhus/is-stream,MIT,MIT,MIT,MIT
isomorphic-fetch,2.2.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/isomorphic-fetch,https://github.com/matthew-andrews/isomorphic-fetch,MIT,MIT,MIT,MIT
js-tokens,1.0.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/js-tokens,https://github.com/lydell/js-tokens,MIT,MIT,MIT,
js-tokens,2.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/js-tokens,https://github.com/lydell/js-tokens,MIT,MIT,MIT,
jspp,1.0.0,/Users/Joe/Dropbox/Projects/portfolio,(none),MIT,MIT,MIT,
jstransform,11.0.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/jstransform,ssh://git@github.com/facebook/jstransform,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
